YYYYMM;PRCP
186602;660.0
186603;1130.0
186604;1050.0
186605;930.0
186606;450.0
186607;540.0
186608;710.0
186609;860.0
186610;1530.0
186611;720.0
186612;450.0
186701;250.0
186702;430.0
186703;1540.0
186704;510.0
186705;880.0
186706;590.0
186707;540.0
186708;930.0
186709;300.0
186710;1980.0
186711;650.0
186712;260.0
186801;690.0
186802;490.0
186803;1950.0
186804;850.0
186805;2180.0
186806;370.0
186807;860.0
186808;580.0
186809;460.0
186810;2130.0
186811;760.0
186812;250.0
186901;200.0
186902;300.0
186903;460.0
186904;130.0
186905;710.0
186906;710.0
186907;930.0
186908;890.0
186909;460.0
186910;2700.0
186911;1540.0
186912;810.0
187001;740.0
187002;1170.0
187003;1240.0
187004;1600.0
187005;1590.0
187006;910.0
187007;980.0
187008;980.0
187009;710.0
187010;2010.0
187011;950.0
187012;970.0
187101;590.0
187102;780.0
187103;1170.0
187104;1960.0
187105;1190.0
187106;520.0
187107;360.0
187108;970.0
187109;1260.0
187110;3190.0
187111;970.0
187112;670.0
187201;360.0
187202;250.0
187203;210.0
187204;1060.0
187205;1570.0
187206;520.0
187207;1100.0
187208;510.0
187209;800.0
187210;1570.0
187211;1060.0
187212;390.0
187301;870.0
187302;170.0
187303;670.0
187304;230.0
187305;810.0
187306;530.0
187307;430.0
187308;950.0
187309;1520.0
187310;1330.0
187311;610.0
187312;640.0
187401;760.0
187402;630.0
187403;670.0
187404;2830.0
187405;2160.0
187406;650.0
187407;370.0
187408;710.0
187409;380.0
187410;2140.0
187411;740.0
187412;200.0
187501;540.0
187502;390.0
187503;750.0
187504;1260.0
187505;1540.0
187506;1310.0
187507;720.0
187508;850.0
187509;1310.0
187510;1720.0
187511;980.0
187512;350.0
187601;860.0
187602;700.0
187603;550.0
187604;1370.0
187605;1320.0
187606;1070.0
187607;480.0
187608;920.0
187609;700.0
187610;2260.0
187611;1010.0
187612;360.0
187701;350.0
187702;100.0
187703;860.0
187704;1630.0
187705;390.0
187706;540.0
187707;350.0
187708;150.0
187709;1600.0
187710;1240.0
187711;1420.0
187712;460.0
187801;550.0
187802;150.0
187803;600.0
187804;2670.0
187805;1120.0
187806;690.0
187807;550.0
187808;810.0
187809;640.0
187810;1630.0
187811;1910.0
187812;560.0
187901;650.0
187902;1390.0
187903;3940.0
187904;2710.0
187905;1500.0
187906;740.0
187907;550.0
187908;470.0
187909;370.0
187910;2070.0
187911;1190.0
187912;720.0
188001;770.0
188002;500.0
188003;2290.0
188004;2690.0
188005;1610.0
188006;390.0
188007;350.0
188008;700.0
188009;320.0
188010;1300.0
188011;670.0
188012;720.0
188101;500.0
188102;1170.0
188103;340.0
188104;2030.0
188105;1220.0
188106;740.0
188107;500.0
188108;450.0
188109;240.0
188110;1920.0
188111;1550.0
188112;700.0
188201;50.0
188202;880.0
188203;880.0
188204;900.0
188205;860.0
188206;390.0
188207;360.0
188208;380.0
188209;140.0
188210;1360.0
188211;380.0
188212;810.0
188301;640.0
188302;280.0
188303;440.0
188304;1460.0
188305;750.0
188306;640.0
188307;650.0
188308;580.0
188309;50.0
188310;1730.0
188311;680.0
188312;200.0
188401;470.0
188402;310.0
188403;1080.0
188404;1390.0
188405;1060.0
188406;530.0
188407;430.0
188408;320.0
188409;180.0
188410;1800.0
188411;740.0
188412;1090.0
188501;80.0
188502;280.0
188503;730.0
188504;2050.0
188505;1330.0
188506;1220.0
188507;790.0
188508;480.0
188509;1000.0
188510;3350.0
188511;1470.0
188512;290.0
188601;1019.0
188602;513.0
188603;879.0
188604;2007.0
188605;870.0
188606;551.0
188607;871.0
188608;1152.0
188609;570.0
188610;1450.0
188611;255.0
188612;1250.0
188701;1032.0
188702;355.0
188703;185.0
188704;905.0
188705;1275.0
188706;715.0
188707;560.0
188708;392.0
188709;422.0
188710;1345.0
188711;2165.0
188712;1370.0
188801;30.0
188802;1025.0
188803;987.0
188804;848.0
188805;1081.0
188806;541.0
188807;402.0
188808;227.0
188809;1011.0
188810;1655.0
188811;822.0
188812;650.0
188901;102.0
188902;83.0
188903;1570.0
188904;1125.0
188905;280.0
188906;1025.0
188907;477.0
188908;450.0
188909;400.0
188910;3085.0
188911;1822.0
188912;1372.0
189001;1560.0
189002;1152.0
189003;432.0
189004;1458.0
189005;1263.0
189006;310.0
189007;387.0
189008;940.0
189009;362.0
